message,message_length,punct%
Howz pain.it will come down today.do as i said ystrday.ice and medicine.,61,6.6000000000000005
We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT + free camcorder Reply of call 08000930705 Now,109,0.8999999999999999
So i asked how's anthony. Dad. And your bf,34,8.799999999999999
We walked from my moms. Right on stagwood pass right on winterstone left on victors hill. Address is &lt;#&gt;,92,7.6
Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX £1.50,129,2.3
Please CALL 08712402578 immediately as there is an urgent message waiting for you,69,0.0
Happy birthday... May u find ur prince charming soon n dun work too hard...,62,9.700000000000001
Its a part of checking IQ,20,0.0
Carlos'll be here in a minute if you still need to buy,43,2.3
Ok ill send you with in  &lt;DECIMAL&gt;  ok.,36,13.900000000000002
I donno if they are scorable,23,0.0
So wats ur opinion abt him and how abt is character?,42,2.4
I will come tomorrow di,19,0.0
How much you got for cleaning,24,0.0
In meeting da. I will call you,24,4.2
When is school starting. Where will you stay. What's the weather like. And the food. Do you have a social support system like friends in the school. All these things are important.,149,4.7
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear",122,4.1000000000000005
:) ,2,100.0
Prakesh is there know.,19,5.3
I've been trying to reach him without success,38,2.6
Yup it's at paragon... I havent decided whether 2 cut yet... Hee...,56,17.9
Wat time u finish ur lect today?,26,3.8
"We know TAJ MAHAL as symbol of love. But the other lesser known facts 1. Mumtaz was Shahjahan's 4th wife, out of his 7 wifes. 2. Shahjahan killed Mumtaz's husband to marry her. 3. Mumtaz died in her  &lt;#&gt; th delivery. 4. He then married Mumtaz's sister. Question arises where the Hell is the LOVE?:-| -The Great Hari-",264,9.1
"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you",116,8.6
Hey we can go jazz power yoga hip hop kb and yogasana ,42,0.0
Taka lor. Wat time u wan 2 come n look 4 us?,33,6.1
Shall I bring us a bottle of wine to keep us amused? Only joking! I‘ll bring one anyway,70,2.9000000000000004
"Sorry, I'll call later",19,10.5
